id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,715,58,215,160,99
1,278,63,241,105,11
2,502,1,299,89,43
3,665,34,185,19,84
4,135,2,48,37,84
5,63,51,20,13,84
6,283,100,231,216,3
7,981,76,126,112,19
8,38,54,14,10,29
9,185,65,285,17,21
10,554,80,108,75,6
11,534,51,232,220,25
12,540,37,214,5,61
13,411,74,156,79,18
14,238,55,288,250,17
15,802,89,241,46,96
16,61,63,141,102,21
17,820,9,36,1,36
18,878,40,208,69,77
19,356,97,119,110,71
20,558,55,179,64,50
21,356,78,268,262,29
22,743,22,120,10,91
23,144,32,100,44,71
24,834,37,150,59,8
25,196,78,269,26,59
26,788,88,184,179,2
27,276,33,144,128,86
28,350,42,167,56,88
29,209,57,161,83,10
30,197,21,147,56,74
31,228,61,39,20,23
32,182,65,50,6,46
33,42,63,19,13,30
34,480,2,165,143,16
35,704,51,14,7,42
36,531,49,252,13,16
37,148,41,118,50,28
38,502,82,269,59,9
39,65,2,43,39,41
40,124,17,138,114,13
41,256,50,111,27,6
42,661,44,197,46,76
43,967,99,230,110,85
44,959,85,248,167,44
45,173,44,177,78,92
46,694,14,148,35,6
47,207,30,171,130,49
48,731,55,297,120,71
49,358,5,161,116,63
