id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,670,23,125,72,8
1,349,26,110,60,12
2,42,44,135,106,72
3,464,82,299,153,59
4,351,50,65,45,31
5,620,70,248,114,94
6,934,27,76,48,7
7,213,79,50,5,12
8,360,93,71,9,40
9,352,64,169,47,31
10,700,5,227,198,18
11,599,4,157,90,2
12,122,22,229,125,68
13,3,75,58,42,84
14,836,61,82,26,5
15,891,81,222,58,87
16,335,48,61,54,94
17,639,80,63,7,85
18,588,50,109,16,58
19,683,4,229,133,16
20,523,93,221,132,95
21,937,7,55,25,92
22,268,61,18,6,48
23,833,75,168,103,19
24,791,42,44,10,33
25,664,73,41,26,30
26,938,35,66,65,47
27,581,32,266,142,61
28,239,23,84,55,66
29,769,48,225,135,66
30,634,45,65,58,4
31,628,11,235,199,43
32,997,4,123,102,65
33,921,47,254,42,88
34,928,22,273,176,92
35,46,67,263,10,77
36,989,77,11,9,34
37,669,8,174,59,64
38,343,4,200,105,13
39,455,19,165,66,99
40,1000,72,2,1,82
41,281,92,84,22,24
42,166,37,104,95,77
43,184,6,137,89,63
44,747,4,147,78,42
45,864,58,299,139,31
46,191,97,294,265,58
47,433,78,194,18,58
48,238,54,43,16,85
49,742,31,119,59,86
