,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,3914,0
1,1,212,101,30,2549,2934,90
2,2,266,231,40,1815,2218,90
3,3,89,284,20,1301,1730,90
4,4,430,298,10,1388,1895,90
5,5,435,77,20,891,1274,90
6,6,25,293,20,2773,3314,90
7,7,43,269,30,558,977,90
8,8,216,117,10,259,760,90
9,9,294,437,30,494,989,90
10,10,79,479,30,780,1375,90
11,11,365,18,20,2048,2538,90
12,12,225,125,20,127,757,90
13,13,448,103,30,2964,3578,90
14,14,143,266,10,297,668,90
15,15,252,347,10,2796,3187,90
16,16,403,390,10,2376,2903,90
17,17,67,153,20,674,1309,90
18,18,90,168,20,2934,3386,90
19,19,302,235,20,902,1344,90
20,20,259,355,20,1768,2226,90
21,21,149,183,20,2903,3473,90
22,22,19,297,20,2087,2637,90
23,23,209,358,30,1360,1753,90
24,24,56,388,20,1637,2105,90
25,25,115,269,10,2800,3273,90
26,26,377,356,10,1747,2104,90
27,27,113,229,30,958,1447,90
28,28,205,343,20,696,1267,90
29,29,48,137,20,1598,2156,90
30,30,467,157,20,2130,2645,90
31,31,220,394,10,2634,3092,90
32,32,436,54,20,1733,2409,90
33,33,54,357,10,1525,2028,90
34,34,456,154,10,227,725,90
35,35,216,307,20,2380,2812,90
36,36,280,224,10,2049,2562,90
37,37,90,270,10,353,938,90
38,38,166,452,20,425,934,90
39,39,17,283,20,2391,2936,90
40,40,196,192,30,1914,2425,90
41,41,94,275,10,286,811,90
42,42,292,445,10,1557,2036,90
43,43,329,471,30,2583,3142,90
44,44,326,57,20,1216,1672,90
45,45,95,466,10,2842,3365,90
46,46,429,282,20,2859,3337,90
47,47,229,364,10,2405,2778,90
48,48,457,160,10,2855,3286,90
49,49,452,154,30,223,701,90
50,50,113,289,10,142,459,90
51,51,67,387,10,2219,2692,90
52,52,368,17,20,1903,2299,90
53,53,341,367,30,2322,2899,90
54,54,410,364,30,1685,2159,90
55,55,80,281,10,1602,1992,90
56,56,321,224,30,1924,2447,90
57,57,73,395,20,1051,1555,90
58,58,259,76,10,784,1232,90
59,59,121,203,10,1634,2109,90
60,60,118,256,10,2296,2901,90
61,61,236,361,30,1564,2022,90
62,62,78,371,20,210,692,90
63,63,301,53,20,826,1271,90
64,64,382,197,20,520,921,90
65,65,491,160,20,1839,2298,90
66,66,453,164,10,2861,3471,90
67,67,277,371,30,354,997,90
68,68,272,212,20,2098,2723,90
69,69,386,218,20,1785,2177,90
70,70,353,32,10,694,1277,90
71,71,59,389,20,1487,2069,90
