,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,7284,0
1,1,440,436,18,3440,3815,10
2,2,214,394,10,776,1189,10
3,3,476,483,10,1237,1722,10
4,4,352,487,27,3511,3824,10
5,5,230,197,40,451,642,10
6,6,175,239,23,163,444,10
7,7,133,202,33,1554,2251,10
8,8,328,458,17,3046,3216,10
9,9,25,499,10,1591,2088,10
10,10,226,423,15,639,1056,10
11,11,313,282,20,580,848,10
12,12,60,454,10,1389,1510,10
13,13,239,486,3,5916,6061,10
14,14,102,264,10,395,795,10
15,15,408,452,10,1028,1269,10
16,16,451,62,5,1044,1335,10
17,17,203,390,40,362,1027,10
18,18,92,233,10,668,1242,10
19,19,7,300,30,1081,1797,10
20,20,409,90,20,946,1240,10
21,21,307,108,10,689,1330,10
22,22,347,54,10,1000,1481,10
23,23,406,87,10,1065,1559,10
24,24,371,332,14,1962,2395,10
25,25,116,466,20,858,1270,10
26,26,441,265,40,621,1077,10
27,27,130,140,17,696,976,10
28,28,80,117,24,3157,3556,10
29,29,421,387,15,3093,3436,10
30,30,83,300,26,1767,2350,10
31,31,136,52,10,1149,1312,10
32,32,18,462,20,1550,1752,10
33,33,390,120,24,3978,4175,10
34,34,188,119,44,3723,4195,10
35,35,467,114,10,1340,1788,10
36,36,440,292,24,3697,3944,10
37,37,268,400,20,856,1210,10
38,38,391,202,14,366,825,10
39,39,377,432,20,3079,3693,10
40,40,80,290,10,761,939,10
41,41,439,15,20,1356,1509,10
42,42,307,52,23,3583,3901,10
43,43,111,192,11,4842,4873,10
44,44,131,56,10,762,1405,10
45,45,88,286,10,801,1338,10
46,46,69,414,6,4975,5251,10
47,47,41,232,16,686,1076,10
48,48,323,77,36,5536,5825,10
49,49,340,416,36,1181,1508,10
50,50,86,199,23,1063,1280,10
51,51,314,124,20,865,1103,10
52,52,375,191,30,567,888,10
53,53,226,175,23,6675,6995,10
54,54,242,106,28,4966,5302,10
55,55,417,417,10,1252,1525,10
56,56,419,459,20,1300,1351,10
57,57,389,11,20,1153,1554,10
58,58,450,416,25,2212,2522,10
59,59,246,255,10,419,601,10
60,60,71,333,10,593,1078,10
61,61,105,474,27,1800,2085,10
62,62,20,489,10,1444,1743,10
63,63,388,331,20,418,862,10
64,64,92,259,4,1522,1794,10
65,65,200,261,10,567,885,10
66,66,400,288,30,453,784,10
67,67,299,285,3,4924,5227,10
68,68,378,199,10,627,1151,10
69,69,325,147,14,4469,5144,10
70,70,421,386,29,3192,3523,10
71,71,404,447,20,756,1244,10
72,72,412,478,7,3529,4268,10
73,73,26,67,15,4976,5678,10
74,74,358,183,20,685,1304,10
75,75,30,302,10,1054,1198,10
76,76,176,470,14,1951,2543,10
77,77,96,270,20,507,911,10
78,78,243,408,15,5724,5866,10
79,79,60,29,32,5293,5729,10
80,80,34,169,11,1784,2211,10
81,81,407,280,10,798,990,10
82,82,277,403,10,607,911,10
83,83,498,456,27,5636,5732,10
84,84,384,491,20,1272,1630,10
85,85,355,174,33,2858,2984,10
86,86,97,288,22,4865,5527,10
87,87,316,284,20,311,806,10
88,88,334,403,26,611,786,10
89,89,415,223,20,1100,1459,10
90,90,230,320,8,4774,4883,10
91,91,432,199,7,2408,2820,10
92,92,92,18,8,4257,4856,10
93,93,273,300,30,122,319,10
94,94,269,112,19,4864,5357,10
95,95,429,389,18,1680,1833,10
96,96,371,71,21,1131,1283,10
97,97,5,297,10,1318,1451,10
98,98,414,378,23,1713,2365,10
99,99,38,15,3,4277,4572,10
100,100,2,295,30,1103,1463,10
101,101,237,254,20,332,454,10
102,102,54,445,10,1234,1350,10
103,103,382,110,24,4301,4718,10
104,104,438,488,18,1223,1515,10
105,105,395,331,20,671,1182,10
106,106,230,487,20,4381,4776,10
107,107,249,407,10,444,1066,10
108,108,488,26,30,1758,1825,10
109,109,151,81,28,6056,6527,10
110,110,483,14,10,1252,1774,10
111,111,0,422,8,3212,3477,10
112,112,429,67,16,2914,3064,10
113,113,195,464,20,5976,6474,10
114,114,356,256,19,269,580,10
115,115,264,180,33,6555,7011,10
116,116,94,235,20,514,820,10
117,117,474,96,30,1003,1171,10
118,118,268,52,10,1056,1509,10
119,119,44,440,24,2826,3604,10
120,120,7,382,27,2977,3307,10
121,121,459,53,20,4264,4834,10
122,122,491,25,10,1452,1937,10
123,123,439,243,20,1131,1497,10
124,124,210,185,20,245,365,10
125,125,150,68,23,1452,2051,10
126,126,201,270,10,111,393,10
127,127,0,188,26,3690,3886,10
128,128,103,464,22,5037,5266,10
129,129,325,56,13,3053,3439,10
130,130,44,344,12,4205,4550,10
131,131,418,75,11,1545,2158,10
132,132,472,57,17,4955,5524,10
133,133,460,328,13,552,1321,10
134,134,89,270,10,711,1037,10
135,135,374,190,20,286,981,10
136,136,463,253,23,4056,4440,10
137,137,97,93,20,921,1122,10
138,138,163,472,9,2452,2895,10
139,139,29,336,22,1194,1578,10
140,140,84,453,19,4914,4989,10
141,141,294,421,26,6271,6453,10
142,142,343,62,10,1251,1729,10
143,143,371,193,20,421,649,10
144,144,142,372,18,409,895,10
145,145,66,88,2,3092,3665,10
146,146,395,332,10,669,1095,10
147,147,93,413,17,793,1017,10
148,148,267,394,10,998,1196,10
149,149,249,258,30,285,849,10
150,150,472,129,10,770,1370,10
151,151,87,3,13,5575,6009,10
152,152,62,326,20,986,1425,10
153,153,212,186,11,6634,7200,10
154,154,241,402,11,3875,4443,10
155,155,439,266,10,632,970,10
156,156,79,80,19,5466,5711,10
157,157,62,453,10,988,1490,10
158,158,188,151,7,5022,5471,10
159,159,386,154,31,4257,4670,10
160,160,38,301,20,1079,1406,10
161,161,192,265,10,374,740,10
162,162,371,192,30,491,668,10
163,163,64,294,12,4217,4713,10
164,164,381,494,10,1275,1512,10
165,165,437,12,20,1259,1498,10
166,166,186,135,24,2759,3103,10
167,167,459,10,10,1282,1518,10
168,168,175,422,24,5685,6006,10
169,169,274,48,10,663,1147,10
170,170,488,173,20,1136,1214,10
171,171,398,97,10,691,1101,10
172,172,385,17,40,2988,3603,10
173,173,180,283,23,2878,3191,10
174,174,71,12,2,923,1540,10
175,175,343,49,10,840,1399,10
176,176,248,251,20,2,174,10
177,177,7,194,29,3728,4003,10
178,178,322,290,23,5765,6186,10
179,179,410,399,25,850,1141,10
180,180,398,103,30,835,1513,10
181,181,385,285,13,3243,3821,10
182,182,179,497,1,5551,5858,10
183,183,464,13,20,1391,1808,10
184,184,492,335,10,3250,3496,10
185,185,27,464,21,5107,5341,10
186,186,231,29,14,4704,5226,10
187,187,157,38,3,4044,4458,10
188,188,439,268,10,1079,1422,10
189,189,149,214,7,1859,2117,10
190,190,187,73,18,1025,1432,10
191,191,429,169,8,3651,3691,10
192,192,350,199,21,4513,5218,10
193,193,60,231,32,3993,4335,10
194,194,448,404,15,2268,2643,10
195,195,481,20,20,1055,1840,10
196,196,436,25,19,4991,5387,10
197,197,111,459,20,1305,1684,10
198,198,389,17,10,1237,1808,10
199,199,148,208,22,1941,2391,10
200,200,475,477,20,1538,1818,10
201,201,390,325,30,977,1153,10
202,202,346,354,8,3117,3543,10
203,203,91,266,10,751,1230,10
204,204,17,65,20,1176,1559,10
205,205,391,112,24,3924,4198,10
206,206,224,203,20,71,358,10
207,207,426,231,24,4123,4225,10
208,208,260,472,33,4122,4286,10
209,209,265,0,10,3450,3838,10
210,210,391,293,20,648,1278,10
211,211,411,421,20,1053,1586,10
212,212,132,30,20,1173,1553,10
213,213,475,480,30,1308,1847,10
214,214,286,244,31,4901,5490,10
215,215,436,237,20,546,946,10
216,216,402,284,30,561,875,10
217,217,287,397,12,2117,2518,10
218,218,272,420,7,5441,5766,10
219,219,477,120,10,1120,1736,10
220,220,145,434,20,743,1241,10
221,221,33,286,11,6026,6461,10
222,222,370,262,15,4326,4589,10
223,223,393,20,20,1421,1824,10
224,224,330,308,24,4683,4800,10
225,225,246,398,40,395,790,10
226,226,482,184,14,4360,4615,10
227,227,451,305,13,658,1009,10
228,228,226,316,21,70,528,10
229,229,110,459,30,1155,1747,10
230,230,244,250,10,10,204,10
231,231,458,16,20,1052,1453,10
232,232,390,34,7,4077,4526,10
233,233,423,214,20,644,1210,10
234,234,219,215,32,46,590,10
235,235,326,118,10,548,755,10
236,236,365,74,24,3270,3637,10
237,237,331,356,13,2869,2945,10
238,238,210,398,10,700,1053,10
239,239,403,93,10,1118,1728,10
240,240,248,404,30,503,812,10
241,241,65,62,15,3612,4320,10
242,242,460,13,20,1225,1469,10
243,243,0,293,30,1105,1246,10
244,244,211,248,26,39,445,10
245,245,484,174,10,1049,1187,10
246,246,175,352,12,6469,6971,10
