Unnamed: 0,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,1824,0
16,16,20,488,10,754,820,90
49,49,21,485,30,487,540,90
75,75,57,432,10,973,1033,90
79,79,22,483,30,325,389,90
91,91,55,428,20,511,568,90
96,96,54,430,20,610,652,90
103,103,115,465,10,409,465,90
142,142,95,384,30,719,785,90
160,160,134,428,20,935,992,90
170,170,62,453,10,515,584,90
176,176,63,444,20,1084,1146,90
178,178,60,454,10,892,952,90
185,185,64,426,10,1162,1223,90
216,216,58,458,10,702,774,90
219,219,65,453,30,423,490,90
237,237,58,449,30,993,1042,90
240,240,59,459,20,622,670,90
258,258,101,386,20,349,415,90
269,269,50,438,20,724,779,90
275,275,52,432,20,789,843,90
317,317,100,387,10,449,498,90
331,331,112,467,10,505,557,90
341,341,95,391,10,909,973,90
349,349,59,457,30,810,848,90
350,350,49,451,20,340,409,90
364,364,66,448,10,270,345,90
375,375,16,497,20,1038,1123,90
378,378,55,431,20,694,752,90
387,387,26,490,10,1345,1394,90
400,400,54,445,10,534,593,90
401,401,109,463,30,959,1018,90
403,403,13,455,10,381,430,90
408,408,16,462,10,935,986,90
412,412,138,438,20,832,893,90
413,413,13,459,20,646,718,90
422,422,111,464,10,775,837,90
431,431,100,394,10,1006,1067,90
436,436,24,492,10,1252,1302,90
489,489,21,487,10,582,629,90
490,490,21,488,10,667,725,90
492,492,67,452,30,327,402,90
505,505,94,383,10,636,687,90
516,516,97,387,10,823,869,90
538,538,111,459,20,1152,1195,90
553,553,116,466,20,318,373,90
570,570,55,449,20,278,339,90
571,571,57,425,20,260,317,90
579,579,110,459,30,1057,1109,90
606,606,102,391,20,1098,1161,90
614,614,17,459,10,1200,1275,90
652,652,101,384,30,200,262,90
664,664,18,484,10,397,444,90
669,669,20,489,10,856,901,90
681,681,54,424,10,320,387,90
690,690,18,462,20,1015,1090,90
701,701,25,499,10,1154,1206,90
711,711,12,451,20,311,359,90
713,713,60,428,20,1059,1137,90
729,729,14,459,20,559,622,90
731,731,8,497,40,959,1006,90
752,752,53,440,10,633,684,90
789,789,117,467,10,254,307,90
812,812,16,460,20,1112,1180,90
823,823,101,385,20,262,320,90
845,845,17,458,10,1297,1360,90
865,865,56,434,20,881,940,90
866,866,12,463,20,751,800,90
882,882,51,447,10,438,501,90
887,887,16,463,20,836,904,90
944,944,111,463,20,875,919,90
948,948,56,428,20,415,482,90
958,958,97,385,30,537,598,90
970,970,15,457,20,462,534,90
972,972,111,467,20,597,647,90
974,974,112,465,10,685,743,90
